# Radius 	finiterdf__H_Water_H_Water	rdf__H_Water_H_Water	finiterdf__H_Water_O_Water	rdf__H_Water_O_Water	finiterdf__O_Water_O_Water	rdf__O_Water_O_Water	
4.6379 1.02223	1.02258	0.956521	0.956718	1.10367	1.10405	
4.65838 1.01908	1.01943	0.9585	0.958689	1.09902	1.09942	
4.67886 1.0198	1.02016	0.959065	0.959245	1.10172	1.10214	
4.69933 1.01858	1.01895	0.960218	0.960389	1.09596	1.09641	
4.71981 1.01665	1.01702	0.96214	0.962303	1.09349	1.09396	
4.74029 1.01572	1.01609	0.963378	0.963533	1.08962	1.09011	
4.76076 1.01366	1.01403	0.965074	0.96522	1.08822	1.08874	
4.78124 1.01115	1.01153	0.966087	0.966226	1.08107	1.0816	
4.80171 1.0085	1.00887	0.968033	0.968164	1.07964	1.0802	
4.82219 1.00733	1.00771	0.96858	0.968704	1.07342	1.07399	
4.84267 1.00631	1.00669	0.97199	0.972107	1.06856	1.06915	
4.86314 1.00273	1.00311	0.974321	0.974432	1.06594	1.06655	
4.88362 1.00114	1.00152	0.976907	0.977013	1.05981	1.06043	
4.9041 0.998881	0.999259	0.978314	0.978414	1.05394	1.05457	
4.92457 0.996401	0.996778	0.980973	0.981069	1.04944	1.05009	
4.94505 0.995136	0.995511	0.983757	0.983849	1.04427	1.04492	
4.96553 0.992172	0.992544	0.985853	0.985941	1.04112	1.04178	
4.986 0.989177	0.989544	0.988667	0.988752	1.03584	1.03651	
5.00648 0.986543	0.986906	0.990097	0.99018	1.03061	1.03128	
5.02695 0.984442	0.984801	0.991735	0.991816	1.02454	1.02522	
5.04743 0.981959	0.982312	0.995593	0.995673	1.02004	1.02071	
5.06791 0.979592	0.979938	0.997308	0.997387	1.01509	1.01577	
5.08838 0.977795	0.978134	0.999689	0.999769	1.00895	1.00962	
5.10886 0.97547	0.975802	1.00286	1.00294	1.004	1.00467	
5.12934 0.974102	0.974427	1.00521	1.00529	0.998898	0.99957	
5.14981 0.972664	0.972981	1.00642	1.0065	0.993054	0.993721	
5.17029 0.969645	0.969952	1.00946	1.00955	0.989269	0.98993	
5.19077 0.968506	0.968804	1.01021	1.0103	0.984701	0.985354	
5.21124 0.965728	0.966015	1.01156	1.01166	0.979642	0.980287	
